time [s]	line [1]	track/ direction [1]	loc. (actual) [km]	loc. (target) [km]	way (actual) [km]	way (target) [km]	speed (actual) [km/h]	speed (target) [km/h]	voltage [V]	current [A]	track-earth voltage [V]	energy input [kWh]	energy balance [kWh]	usable braking energy [kWh]	used braking energy [kWh]	recuperated braking energy [kWh]	energy braking resistor [kWh]	state [1]	tractive effort (actual) [kN]	tractive effort (target) [kN]	line and running resistance [kN]	acceleration (actual) [m/(s*s)]	acceleration (target) [m/(s*s)]	desired speed [km/h]	train configuration [1]	utilization rate [%]	
3992.000000	      2.0000000	      2.0000000	      9.0346947	      9.0500002	      0.3053056	      0.2900000	     19.1000004	     19.1000004	    788.8771973	    -67.0124207	     -0.6334311	      1.8846287	      1.7041684	      0.2538908	      0.2538738	      0.1804602	      0.0000169	     50.0000000	    -19.5387001	      0.0000000	     -7.4659920	     -0.2083333	      0.0000000	     19.1000004	      2.0000000	    100.0000000	
3994.000000	      2.0000000	      2.0000000	      9.0246944	      9.0400000	      0.3153056	      0.3000000	     16.8999996	     16.8999996	    782.5030518	   -108.0852890	     -1.1593213	      1.8846287	      1.6571811	      0.3159338	      0.3159167	      0.2274475	      0.0000171	     50.0000000	    -29.4888611	      0.0000000	    -11.7822218	     -0.3055556	      0.0000000	     16.8999996	      2.0000000	    100.0000000	
3996.000000	      2.0000000	      2.0000000	      9.0160275	      9.0319996	      0.3239722	      0.3080000	     14.3000002	     14.3000002	    782.1393433	   -120.1314240	     -0.4218156	      1.8846287	      1.6049814	      0.3831893	      0.3831719	      0.2796472	      0.0000173	     50.0000000	    -36.9455719	      0.0000000	    -16.0195427	     -0.3611111	      0.0000000	     14.3000002	      2.0000000	    100.0000000	
3998.000000	      2.0000000	      2.0000000	      9.0091944	      9.0260000	      0.3308056	      0.3140000	     10.3000002	     10.3000002	    791.1876221	   -138.4945831	     -1.5439391	      1.8846287	      1.5441064	      0.4591203	      0.4591026	      0.3405223	      0.0000177	     50.0000000	    -51.6167717	      0.0000000	    -19.4228840	     -0.5555556	      0.0000000	     10.3000002	      2.0000000	    100.0000000	
4000.000000	      2.0000000	      2.0000000	      9.0042496	      9.0220003	      0.3357500	      0.3180000	      7.5000000	      7.5000000	    780.1168823	    -60.9143181	      2.2169135	      1.8846287	      1.5177062	      0.5005761	      0.5005583	      0.3669225	      0.0000178	     50.0000000	    -42.8658371	      0.0000000	    -20.3301163	     -0.3888889	      0.0000000	      7.5000000	      2.0000000	    100.0000000	
4002.000000	      2.0000000	      2.0000000	      9.0008888	      9.0190001	      0.3391111	      0.3210000	      4.5999999	      4.5999999	    786.6595459	    -26.0892220	     -0.6740252	      1.8846287	      1.5063044	      0.5270335	      0.5270157	      0.3783244	      0.0000178	     50.0000000	    -43.7122612	      0.0000000	    -20.3716908	     -0.4027778	      0.0000000	      4.5999999	      2.0000000	    100.0000000	
4004.000000	      2.0000000	      2.0000000	      8.9991665	      9.0170002	      0.3408333	      0.3230000	      1.6000000	      1.6000000	    785.4934082	     10.0507650	     -0.7489896	      1.8890147	      1.5106903	      0.5377030	      0.5376853	      0.3783244	      0.0000178	     50.0000000	    -44.5542145	      0.0000000	    -20.4087982	     -0.4166667	      0.0000000	      1.6000000	      2.0000000	    100.0000000	
4006.000000	      2.0000000	      2.0000000	      8.9986668	      9.0150003	      0.3413333	      0.3250000	      0.2000000	      0.2000000	    784.7510376	     33.8633575	     -0.3983909	      1.9037782	      1.5254538	      0.5379951	      0.5379773	      0.3783244	      0.0000178	     50.0000000	    -31.7086754	      0.0000000	    -20.4408150	     -0.1944444	      0.0000000	      0.2000000	      2.0000000	    100.0000000	
4008.000000	      2.0000000	      2.0000000	      8.9985552	      9.0150003	      0.3414444	      0.3250000	      0.2000000	      0.2000000	    784.2824097	     33.7509155	     -0.2427431	      1.9184839	      1.5401596	      0.5383450	      0.5383272	      0.3783244	      0.0000178	     30.0000000	    -20.4535370	      0.0000000	    -20.4535370	      0.0000000	      0.0000000	      0.2000000	      2.0000000	    100.0000000	
4010.000000	      2.0000000	      2.0000000	      8.9984446	      9.0139999	      0.3415556	      0.3260000	      0.2000000	      0.2000000	    781.7426758	     33.8606300	     -0.2493355	      1.9331896	      1.5548652	      0.5386948	      0.5386771	      0.3783244	      0.0000177	     30.0000000	    -20.4535370	      0.0000000	    -20.4535370	      0.0000000	      0.0000000	      0.2000000	      2.0000000	    100.0000000	
4012.000000	      2.0000000	      2.0000000	      8.9983330	      9.0139999	      0.3416667	      0.3260000	      0.2000000	      0.2000000	    781.9670410	     33.8508568	     -0.4099969	      1.9478953	      1.5695709	      0.5390447	      0.5390269	      0.3783244	      0.0000178	     30.0000000	    -20.4535370	      0.0000000	    -20.4535370	      0.0000000	      0.0000000	      0.2000000	      2.0000000	    100.0000000	
4014.000000	      2.0000000	      2.0000000	      8.9982224	      9.0129995	      0.3417778	      0.3270000	      0.2000000	      0.2000000	    783.6047363	     33.7800865	     -1.6646537	      1.9626009	      1.5842767	      0.5393946	      0.5393768	      0.3783244	      0.0000178	     30.0000000	    -20.4535370	      0.0000000	    -20.4535370	      0.0000000	      0.0000000	      0.2000000	      2.0000000	    100.0000000	
